"Product Name","Brand","Category","Net Quantity","MRP","Mfg Date","Best Before","Manufacturer","Address","Common Name","Barcode","Batch Number","Consumer Phone","Consumer Email","Country of Origin","FSSAI","Unit Sale Price","Source URL","Evidence Notes"
"Amul Gir Cow Ghee","Amul","Ghee","500 mL","700","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul High Aroma Cow Ghee","Amul","Ghee","1 L","765","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Cow Ghee","Amul","Ghee","1 L","705","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Pure Ghee","Amul","Ghee","1 L","660","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Buffalo Ghee Tin","Amul","Ghee","1 L","680","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Brown Ghee","Amul","Ghee","500 mL","380","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Sagar Ghee","Sagar","Ghee","1 L","650","","","","","","","","","","","","","https://shop.amul.com/en/browse/ghee","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Chocominis","Amul","Chocolate","250 g","130","","","","","","","","","","","","","https://shop.amul.com/browse/chocolates","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Almondo Chocolate Coated Almonds","Amul","Chocolate","200 g","210","","","","","","","","","","","","","https://shop.amul.com/browse/chocolates","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Chocolate Syrup","Amul","Chocolate syrup","650 g","140","","","","","","","","","","","","","https://shop.amul.com/browse/chocolates","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Dark Passion Wafer Chocolate Tub","Amul","Wafer chocolate","300 g","200","","","","","","","","","","","","","https://shop.amul.com/browse/chocolates","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Mango Lassi","Amul","Lassi","1 L","180","","","","","","","","","","","","","https://shop.amul.com/en/product/amul-mango-lassi-1-l","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Butter","Amul","Cookies","200 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Coconut","Amul","Cookies","50 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Oats and Honey","Amul","Cookies","50 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Nuts and Raisins","Amul","Cookies","50 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Jeera","Amul","Cookies","50 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
"Amul Butter Cookies - Cashew","Amul","Cookies","50 g","","","","","","","","","","","","","","https://old.amul.com/products/amul-cookies.php","Official catalogue reference only; not verified store stock. MRP where provided is the published online MRP, subject to change. Missing batch dates, GTIN and package declarations must be supplied from the actual package. No open-data licence asserted."
